user:id,context:timestamp,elapsed_time,group:key,group:label,context:location:latitude,context:location:longitude
bvsd-46461,4/16/26 10:11,57,0,Control,,
bvsd-91855,4/14/26 14:33,62,0,Control,38.90195741271323,-94.65343979
bvsd-07883,4/14/26 14:27,60,1,Treatment,,
bvsd-04676,4/14/26 14:27,82,0,Control,38.90249941836885,-94.65959748
bvsd-52367,4/14/26 14:27,57,0,Control,,
bvsd-90254,4/14/26 14:26,66,0,Control,,
bvsd-33630,4/14/26 14:26,57,0,Control,,
bvsd-51207,4/14/26 14:26,49,1,Treatment,,
bvsd-40583,4/14/26 14:26,59,1,Treatment,,
bvsd-00185,4/14/26 14:26,66,0,Control,,
bvsd-64850,4/14/26 14:26,69,1,Treatment,,
bvsd-29973,4/14/26 14:26,55,1,Treatment,38.908212205391024,-94.65342662
bvsd-24935,4/14/26 11:37,64,1,Treatment,,
bvsd-79067,4/14/26 11:37,64,0,Control,38.904305412066954,-94.66553895
bvsd-50607,4/14/26 11:37,76,0,Control,38.91190478298084,-94.65510309
bvsd-55411,4/16/26 10:19,75,0,Control,38.90981214041798,-94.65706561
bvsd-36323,4/16/26 10:18,74,0,Control,,
bvsd-04643,4/16/26 10:12,62,1,Treatment,38.90449085612315,-94.66571389
bvsd-47826,4/15/26 10:30,62,1,Treatment,,
bvsd-78563,4/14/26 14:27,68,0,Control,,
bvsd-33516,4/14/26 14:27,39,1,Treatment,38.90750737600726,-94.65646214
bvsd-96061,4/14/26 14:26,63,1,Treatment,38.90283176699414,-94.65950074
bvsd-51226,4/14/26 11:38,60,1,Treatment,38.91554823925072,-94.66594525
bvsd-60678,4/14/26 11:38,63,1,Treatment,,
bvsd-03355,4/14/26 11:38,64,0,Control,,
bvsd-55063,4/14/26 11:38,69,1,Treatment,38.907446407467674,-94.65497428
bvsd-90348,4/14/26 11:38,61,0,Control,38.90505116760365,-94.65151741
bvsd-62093,4/14/26 11:38,60,1,Treatment,,
bvsd-07108,4/14/26 11:37,87,0,Control,,
bvsd-43680,4/14/26 11:37,62,1,Treatment,,
bvsd-15737,4/14/26 11:37,64,0,Control,38.90378258575436,-94.65907249
bvsd-14126,4/14/26 11:37,63,1,Treatment,38.90190453704326,-94.65592188
bvsd-98403,4/14/26 11:37,82,0,Control,38.91594048732802,-94.6659179
bvsd-79542,4/14/26 11:37,103,0,Control,38.91705405125045,-94.66204138
bvsd-16908,4/14/26 11:37,62,1,Treatment,38.89865869547323,-94.66678654
bvsd-59352,4/14/26 11:37,66,1,Treatment,,
bvsd-44934,4/14/26 11:37,64,0,Control,,
bvsd-15535,4/14/26 11:37,61,1,Treatment,38.910187290882234,-94.65841203
bvsd-22662,4/14/26 11:37,63,0,Control,38.903136308567596,-94.65596204# reviewed: 2026-05-29 18:14:01 [5] run-26537
# reviewed: 2026-06-03 18:48:28 [7] run-3974
# reviewed: 2026-06-08 17:57:40 [9] run-30812
# reviewed: 2026-06-14 16:25:51 [2] run-2850
# reviewed: 2026-06-19 17:21:02 [4] run-25109
# reviewed: 2026-06-24 17:07:42 [6] run-18729
# reviewed: 2026-06-29 17:41:05 [8] run-23917
# reviewed: 2026-07-05 16:11:51 [1] run-1618
# reviewed: 2026-07-10 16:59:00 [3] run-19870
