Timestamp,What grade are you in?,What's your age?,What’s your gender?,"On a scale of (0 - 5), how often do you use your phone?",What is the most used social media app in you phone?,"How much time do you spend using social media?
","Did you answer the questions in this survey honestly?
"
4/29/2026 10:05:54,Sophomore,16,Female,5,Tiktok,3 - 4 Hours,Yes
4/29/2026 10:06:03,Sophomore,16,Female,3,Tiktok,1 - 2 Hours,Yes
4/29/2026 10:06:07,Sophomore,16,Female,4,Tiktok,3 - 4 Hours,Yes
4/29/2026 10:06:35,Sophomore,16,Male,4,Tiktok,3 - 4 Hours,Yes
4/29/2026 10:31:52,Sophomore,15,Male,4,Youtube,3 - 4 Hours,Yes
4/29/2026 10:49:09,Sophomore,16,Female,5,Tiktok,10+,Yes
4/29/2026 10:50:27,Sophomore,16,Male,5,Tiktok,3 - 4 Hours,Yes
4/29/2026 10:50:44,Sophomore,16,Male,3,Instagram,3 - 4 Hours,Yes
4/29/2026 11:16:10,Sophomore,15,Female,5,Tiktok,3 - 4 Hours,Yes
4/29/2026 11:16:26,Sophomore,16,Female,4,Tiktok,3 - 4 Hours,Yes
4/29/2026 11:17:15,Sophomore,15,Male,3,Tiktok,3 - 4 Hours,Yes
4/29/2026 11:17:20,Sophomore,15,Female,3,Tiktok,3 - 4 Hours,Yes
4/29/2026 11:17:50,Sophomore,16,Female,4,Instagram,1 - 2 Hours,Yes
4/29/2026 11:18:37,Sophomore,16,Female,4,Tiktok,5 - 6 Hours,Yes
4/29/2026 11:18:53,Junior,17,Male,4,Instagram,5 - 6 Hours,Yes
4/29/2026 11:18:57,Sophomore,16,Female,3,Snapchat ,45 min ,Yes
4/29/2026 11:19:21,Sophomore,16,Female,4,Instagram,1 - 2 Hours,Yes
4/29/2026 11:19:33,Sophomore,16,Female,5,Tiktok,3 - 4 Hours,Yes
4/29/2026 11:19:40,Sophomore,16,Female,3,Tiktok,3 - 4 Hours,Yes
4/29/2026 11:19:54,Sophomore,15,Male,4,Tiktok,5 - 6 Hours,Yes
4/29/2026 11:19:56,Sophomore,16,Male,2,Youtube,10 minutes,Yes
4/29/2026 11:20:01,Sophomore,16,Female,4,Instagram,3 - 4 Hours,Yes
4/29/2026 11:33:53,Senior,17,Male,4,Instagram,3 - 4 Hours,Yes
4/29/2026 11:36:34,Senior,17,Male,4,Tiktok,1 - 2 Hours,Yes
4/30/2026 8:33:38,Junior,17,Male,3,Tiktok,3 - 4 Hours,Yes
4/30/2026 8:33:38,Junior,17,Female,3,Tiktok,3 - 4 Hours,Yes
4/30/2026 8:33:40,Senior,18,Female,4,Tiktok,3 - 4 Hours,Yes
4/30/2026 8:33:46,Senior,18,Male,3,Instagram,1 - 2 Hours,Yes
4/30/2026 8:33:48,Junior,17,Male,4,Tiktok,3 - 4 Hours,Yes
4/30/2026 8:33:50,Junior,17,Male,4,Instagram,1 - 2 Hours,Yes
4/30/2026 8:33:53,Senior,18,Male,3,Instagram,3 - 4 Hours,Yes
4/30/2026 8:33:55,Junior,17,Male,5,None,3 - 4 Hours,Yes
4/30/2026 8:34:00,Senior,18,Male,3,Youtube,3 - 4 Hours,Yes
4/30/2026 8:34:03,Junior,17,Male,4,Instagram,3 - 4 Hours,Yes
4/30/2026 8:35:20,Sophomore,16,Male,4,Instagram,3 - 4 Hours,Yes
4/30/2026 8:35:27,Junior,17,Male,4,Tiktok,3 - 4 Hours,Yes
5/1/2026 13:54:24,Junior,17,Male,5,Tiktok,3 - 4 Hours,Yes
