Fighter1,Fighter2,F1 Winner?,F2 Winner?,Fight Method,Round,Time,Time Format,Referee,Finish Details or Judges Scorecard,Bout,Event Name,Location,Date,Rounds,Total Strike Landed R1  Disp.,Total Strike Missed R1  Disp.,Non-Sig. Strike Landed R1  Disp.,Non-Sig. Strike Missed R1  Disp.,Sig. Strike Landed R1  Disp.,Sig. Strike Missed R1  Disp.,Head R1  Disp.,Body R1  Disp.,Leg R1  Disp.,Distance R1  Disp.,Clinch R1  Disp.,Ground R1  Disp.,Knockdowns R1  Disp.,TD Completed R1  Disp.,TD Missed R1  Disp.,Sub. Att R1  Disp.,Rev. R1  Disp.,Ctrl Time (Minutes) R1  Disp.,Total Strike Landed R2  Disp.,Total Strike Missed R2  Disp.,Non-Sig. Strike Landed R2  Disp.,Non-Sig. Strike Missed R2  Disp.,Sig. Strike Landed R2  Disp.,Sig. Strike Missed R2  Disp.,Head R2  Disp.,Body R2  Disp.,Leg R2  Disp.,Distance R2  Disp.,Clinch R2  Disp.,Ground R2  Disp.,Knockdowns R2  Disp.,TD Completed R2  Disp.,TD Missed R2  Disp.,Sub. Att R2  Disp.,Rev. R2  Disp.,Ctrl Time (Minutes) R2  Disp.,Total Strike Landed R3  Disp.,Total Strike Missed R3  Disp.,Non-Sig. Strike Landed R3  Disp.,Non-Sig. Strike Missed R3  Disp.,Sig. Strike Landed R3  Disp.,Sig. Strike Missed R3  Disp.,Head R3  Disp.,Body R3  Disp.,Leg R3  Disp.,Distance R3  Disp.,Clinch R3  Disp.,Ground R3  Disp.,Knockdowns R3  Disp.,TD Completed R3  Disp.,TD Missed R3  Disp.,Sub. Att R3  Disp.,Rev. R3  Disp.,Ctrl Time (Minutes) R3  Disp.
Caio Machado,Brendson Ribeiro,0,1,Decision - Split,3,5:00,3 Rnd (5-5-5),Jerin Valel,Sal D'amato 28 - 29. Thomas Collins 29 - 28. Mike Bell 28 - 29.,Light Heavyweight Bout,UFC Fight Night: Moreno vs. Albazi,"Edmonton, Alberta, Canada",11/2/24,3,6,3,0,0,6,3,-3,2,7,6,0,0,0,0,0,0,0,0,10,12,0,0,10,12,1,7,2,10,0,0,0,0,0,0,0,0,14,11,3,0,11,11,1,8,2,11,0,0,0,0,0,0,0,0.033333333
Mike Malott,Trevin Giles,1,0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Andy Social,Eric Colon 27 - 30. Thomas Collins 28 - 29. Mike Bell 28 - 29.,Welterweight Bout,UFC Fight Night: Moreno vs. Albazi,"Edmonton, Alberta, Canada",11/2/24,3,3,18,0,0,3,18,-2,4,1,3,0,0,0,0,0,0,0,0,11,11,0,0,11,11,0,6,5,11,0,0,0,0,1,0,0,0,11,-2,0,0,11,-2,1,6,4,11,0,0,0,0,0,0,0,0
Aiemann Zahabi,Pedro Munhoz,1,0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Jerin Valel,Sal D'amato 27 - 30. Eric Colon 28 - 29. Mike Bell 28 - 29.,Bantamweight Bout,UFC Fight Night: Moreno vs. Albazi,"Edmonton, Alberta, Canada",11/2/24,3,4,-25,0,0,4,-25,1,4,-1,5,-1,0,0,0,1,0,0,0,20,-37,1,1,19,-38,21,1,-3,19,0,0,0,0,-3,0,0,-0.033333333,-9,-72,0,0,-9,-72,-6,-1,-2,-9,0,0,0,0,-3,0,0,0
Alexandr Romanov,Rodrigo Nascimento,1,0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Marc Goddard,Jason Tatlow 27 - 30. Thomas Collins 27 - 30. Sal D'amato 27 - 30.,Heavyweight Bout,UFC Fight Night: Moreno vs. Albazi,"Edmonton, Alberta, Canada",11/2/24,3,28,4,27,1,1,3,2,-1,0,-1,0,2,0,4,1,1,0,4.783333333,2,21,-14,0,7,-13,7,-1,1,6,1,0,0,2,2,0,0,2.766666667,9,-3,3,0,6,-3,9,-2,-1,4,2,0,0,0,1,0,0,0
Serhiy Sidey,Garrett Armfield,1,0,Decision - Split,3,5:00,3 Rnd (5-5-5),Andy Social,Derek Cleary 28 - 29. Mike Bell 29 - 28. Junichiro Kamijo 28 - 29.,Bantamweight Bout,UFC Fight Night: Moreno vs. Albazi,"Edmonton, Alberta, Canada",11/2/24,3,-1,5,3,0,-4,5,-12,5,3,-5,1,0,0,-1,1,1,0,-0.366666667,-4,-2,0,0,-4,-2,-6,3,-1,-5,1,0,0,0,2,0,0,-0.033333333,3,2,-2,0,5,2,1,5,-1,5,1,-1,0,-3,0,1,1,-3.7
Chad Anheliger,Cody Gibson,0,1,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Jerin Valel,Derek Cleary 26 - 30. Junichiro Kamijo 27 - 30. Ziad Harb 27 - 30.,Bantamweight Bout,UFC Fight Night: Moreno vs. Albazi,"Edmonton, Alberta, Canada",11/2/24,3,-10,-6,-11,2,1,-8,0,0,1,1,0,0,0,-2,0,-1,0,-3.616666667,-18,-8,-9,-7,-9,-1,-9,0,0,0,0,-9,0,-1,-1,-1,0,-4.65,28,-2,25,-1,3,-1,2,0,1,4,0,-1,0,-2,0,0,0,-4.15
Jamey-Lyn Horth,Ivana Petrovic,1,0,Decision - Split,3,5:00,3 Rnd (5-5-5),Blake Grice,Eric Colon 27 - 30. Thomas Collins 29 - 28. Mike Bell 28 - 29.,Women's Flyweight Bout,UFC Fight Night: Moreno vs. Albazi,"Edmonton, Alberta, Canada",11/2/24,3,-10,-7,-12,-4,2,-3,0,2,0,1,1,0,0,0,0,0,-1,-2.35,7,-7,6,0,1,-7,0,2,-1,0,1,0,0,-1,-2,0,0,-2.35,-14,-3,-15,-4,1,1,0,1,0,-5,6,0,0,1,0,0,-1,-0.55
Magomed Ankalaev,Aleksandar Rakic,1,0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Vitor Ribeiro,Sal D'amato 28 - 29. Jacob Montalvo 28 - 29. Tony Weeks 28 - 29.,Light Heavyweight Bout,UFC 308: Topuria vs. Holloway,"Abu Dhabi, Abu Dhabi, United Arab Emirates",10/26/24,3,-3,-8,0,0,-3,-8,3,5,-11,-3,0,0,0,0,0,0,0,0,4,4,0,1,4,3,5,4,-5,5,-1,0,0,0,0,0,0,0.116666667,15,7,14,7,1,0,2,4,-5,-2,3,0,0,0,-1,0,0,0.4
Lerone Murphy,Dan Ige,1,0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mark Smith,Mike Bell 28 - 29. Ben Cartlidge 28 - 29. Hadi Mohamed Ali 28 - 29.,Featherweight Bout,UFC 308: Topuria vs. Holloway,"Abu Dhabi, Abu Dhabi, United Arab Emirates",10/26/24,3,-14,-14,1,-1,-15,-13,-16,2,-1,-5,-2,-8,-1,0,0,0,-1,-1.133333333,24,6,16,1,8,5,7,3,-2,6,2,0,0,1,-1,0,-1,0.233333333,16,-1,3,3,13,-4,10,2,1,4,6,3,0,1,1,0,0,-1.6
Mateusz Rebecki,Myktybek Orolbai,1,0,Decision - Split,3,5:00,3 Rnd (5-5-5),Vitor Ribeiro,Jacob Montalvo 29 - 28. Sal D'amato 28 - 29. Ben Cartlidge 28 - 29.,Catch Weight Bout,UFC 308: Topuria vs. Holloway,"Abu Dhabi, Abu Dhabi, United Arab Emirates",10/26/24,3,5,1,0,0,5,1,2,5,-2,4,1,0,0,0,1,0,0,0,-4,-1,-2,-1,-2,0,-2,-1,1,-3,1,0,0,-1,-3,0,0,-0.483333333,7,4,0,4,7,0,6,0,1,-7,3,11,1,2,0,0,-1,0.8
