user:id,context:timestamp,calories,cost:key,cost:label,healthy_level,ingredients,name,protein,salty_sweet:key,salty_sweet:label,snack_image,sodium,sugar,when:key,when:label,why:key,why:label,context:location:latitude,context:location:longitude
"bvsd-79542","2025-09-16 00:16:15","170","2","$1 to < $3","5","14","Fairlife Core Power Chocolate Shake","26","1","Sweet","SKIPPED","260","5","4","night","1","availability",,
"bvsd-79542","2025-09-16 00:14:47","160","2","$1 to < $3","5","30","Premier Protein Caramel Protein Shake","30","1","Sweet","SKIPPED","350","1","3","evening","1","availability",,
"bvsd-79542","2025-09-16 00:13:30","100","1","$0 to < $1","2","10","Hersheys Chocolate Pudding","1","1","Sweet","SKIPPED","125","13","4","night","1","availability",,
"bvsd-79542","2025-09-16 00:12:12","80","1","$0 to < $1","2","23","Rice Crispy Treat","1","1","Sweet","SKIPPED","90","7","2","afternoon","4","energy",,
"bvsd-79542","2025-09-16 00:11:07","100","1","$0 to < $1","2","40","Cinnamon Toast Crunch Cereal Bar","1","1","Sweet","SKIPPED","90","8","2","afternoon","4","energy",,
"bvsd-59352","2025-09-15 23:58:34","160","2","$1 to < $3","4","5","premier protein","30","1","Sweet","SKIPPED","380","1","3","evening","4","energy",,
"bvsd-59352","2025-09-15 23:57:12","140","2","$1 to < $3","2","7","honey nut cherios","3","1","Sweet","SKIPPED","210","12","1","morning","5","hungry/thirsty",,
"bvsd-59352","2025-09-15 23:56:05","120","2","$1 to < $3","4","3","milk","8","1","Sweet","SKIPPED","100","11","1","morning","5","hungry/thirsty",,
"bvsd-59352","2025-09-15 23:55:18","150","2","$1 to < $3","2","6","cheezit","3","0","Salty","SKIPPED","230","0","2","afternoon","2","craving",,
"bvsd-59352","2025-09-15 23:54:05","120","2","$1 to < $3","4","4","milk","8","1","Sweet","SKIPPED","180","11","2","afternoon","5","hungry/thirsty",,
"bvsd-59352","2025-09-15 23:53:20","200","2","$1 to < $3","3","4","frozen chicken tenders","10","0","Salty","SKIPPED","380","3","2","afternoon","5","hungry/thirsty",,
"bvsd-59352","2025-09-15 23:52:33","200","2","$1 to < $3","2","8","snapple","0","1","Sweet","SKIPPED","140","30","2","afternoon","5","hungry/thirsty",,
"bvsd-59352","2025-09-15 23:51:41","300","2","$1 to < $3","3","5","unrustable","10","1","Sweet","SKIPPED","230","12","1","morning","5","hungry/thirsty",,
"bvsd-59352","2025-09-15 23:50:56","180","2","$1 to < $3","3","7","honey hut cherios","3","1","Sweet","SKIPPED","210","12","1","morning","5","hungry/thirsty",,
"bvsd-59352","2025-09-15 23:49:27","120","2","$1 to < $3","4","3","milk","8","1","Sweet","SKIPPED","120","11","1","morning","5","hungry/thirsty",,
"bvsd-46532","2025-09-15 23:49:13","50","2","$1 to < $3","1","20","fruit roll up","0","1","Sweet","SKIPPED","50","7","4","night","1","availability",,
"bvsd-46532","2025-09-15 23:48:02","70","3","$3 to < $7","3","6","hummus","2","0","Salty","SKIPPED","120","0","2","afternoon","1","availability",,
"bvsd-46532","2025-09-15 23:46:01","70","3","$3 to < $7","5","1","pinapples","0","1","Sweet","SKIPPED","0","15","1","morning","1","availability",,
"bvsd-46532","2025-09-15 23:44:43","35","2","$1 to < $3","4","1","grapes","0","1","Sweet","SKIPPED","0","23","1","morning","1","availability",,
"bvsd-46532","2025-09-15 23:43:23","35","2","$1 to < $3","4","1","strawberrys","1","1","Sweet","SKIPPED","0","7","1","morning","1","availability",,
"bvsd-46532","2025-09-15 23:40:41","230","2","$1 to < $3","1","8","M&M's:","2","1","Sweet","SKIPPED","35","31","4","night","2","craving",,
"bvsd-46532","2025-09-15 23:38:40","280","2","$1 to < $3","1","10","Twix:","3","1","Sweet","SKIPPED","115","27","4","night","7","other",,
"bvsd-04643","2025-09-15 23:38:13","250","2","$1 to < $3","3","16","Chocolaye Chip Clif","10","0","Salty","SKIPPED","130","17","1","morning","1","availability","38.872102120218884","-94.64513610051486"
"bvsd-04643","2025-09-15 23:36:54","260","2","$1 to < $3","2","11","Pibb Xtra","0","1","Sweet","SKIPPED","75","70","3","evening","5","hungry/thirsty","38.870438848844955","-94.63493823862105"
"bvsd-04643","2025-09-15 23:36:20","260","2","$1 to < $3","2","11","Pibb Xtra","0","1","Sweet","SKIPPED","75","70","3","evening","5","hungry/thirsty","38.86752580508411","-94.64186220552794"
"bvsd-04643","2025-09-15 23:35:02","38","1","$0 to < $1","2","24","Nerds Gummy Clusters","0.4","1","Sweet","SKIPPED","16.9","7.9","1","morning","2","craving",,
"bvsd-04643","2025-09-15 23:33:08","10","2","$1 to < $3","3","15","Cherry Slush Alani Nu","0","1","Sweet","SKIPPED","170","0","1","morning","4","energy","38.87446693028869","-94.64019350696888"
"bvsd-46532","2025-09-15 23:32:43","200","3","$3 to < $7","3","19","fig newtons","2","1","Sweet","SKIPPED","180","24","3","evening","1","availability",,
"bvsd-04643","2025-09-15 23:32:31","10","2","$1 to < $3","3","15","Cherry Slush Alani Nu","0","1","Sweet","SKIPPED","170","0","3","evening","5","hungry/thirsty","38.87087628773064","-94.63877173968197"
"bvsd-04643","2025-09-15 23:31:59","10","2","$1 to < $3","3","15","Cherry Slush Alani Nu","0","1","Sweet","SKIPPED","170","0","1","morning","4","energy","38.86164749831334","-94.64180939627484"
"bvsd-04643","2025-09-15 23:31:30","10","2","$1 to < $3","3","15","Cherry Slush Alani Nu","0","1","Sweet","SKIPPED","170","0","1","morning","4","energy","38.87109061866035","-94.642077872861"
"bvsd-04643","2025-09-15 23:30:59","10","2","$1 to < $3","3","15","Cherry Slush Alani Nu","0","1","Sweet","SKIPPED","170","0","1","morning","4","energy","38.874796487290546","-94.65140977585455"
"bvsd-46532","2025-09-15 23:29:43","0","2","$1 to < $3","1","8","diet coke","0","1","Sweet","SKIPPED","55","0","4","night","5","hungry/thirsty",,
"bvsd-46532","2025-09-15 23:28:38","210","2","$1 to < $3","2","11","Chex Mix:","4","0","Salty","SKIPPED","380","3","2","afternoon","1","availability",,
"bvsd-46532","2025-09-15 23:20:52","90","2","$1 to < $3","2","7","Hawaiian rolls","3","1","Sweet","SKIPPED","80","5","2","afternoon","7","other",,
"bvsd-46532","2025-09-15 23:16:42","140","3","$3 to < $7","3","5","Nuts & Trail Mix","4","0","Salty","SKIPPED","55","12","2","afternoon","1","availability",,
"bvsd-46532","2025-09-15 23:14:35","160","3","$3 to < $7","1","3","popcorn","2","0","Salty","SKIPPED","210","0","3","evening","1","availability",,
"bvsd-46532","2025-09-15 23:10:25","280","3","$3 to < $7","1","10","Snickers","4","1","Sweet","SKIPPED","140","30","4","night","7","other",,
"bvsd-46532","2025-09-15 23:06:14","80","3","$3 to < $7","3","10","beef jerky","10","0","Salty","SKIPPED","520","6","2","afternoon","5","hungry/thirsty",,
"bvsd-55411","2025-09-15 22:47:31","100","2","$1 to < $3","4","1","quinoa puffs ","4","0","Salty","SKIPPED","0","0","2","afternoon","4","energy","38.83844687998055","-94.62243913740863"
"bvsd-55411","2025-09-15 22:46:32","120","2","$1 to < $3","2","26","spicy kick mix ","8","0","Salty","SKIPPED","280","1","4","night","5","hungry/thirsty","38.8439829213257","-94.6263173567218"
"bvsd-55411","2025-09-15 22:45:25","160","2","$1 to < $3","4","3","nut mix ","7","0","Salty","SKIPPED","50","0","3","evening","4","energy","38.846805004365855","-94.61710615819979"
"bvsd-51249","2025-09-15 22:45:13","140","2","$1 to < $3","2","6","pirates booty","3","0","Salty","SKIPPED","190","1","2","afternoon","5","hungry/thirsty",,
"bvsd-55411","2025-09-15 22:44:19","110","2","$1 to < $3","3","13","pretzel crisps ","2","0","Salty","SKIPPED","270","2","2","afternoon","4","energy","38.84668950638516","-94.61989917073245"
"bvsd-51249","2025-09-15 22:43:42","104","2","$1 to < $3","4","1","grapes","1","1","Sweet","SKIPPED","0","23","3","evening","5","hungry/thirsty",,
"bvsd-55411","2025-09-15 22:43:27","160","2","$1 to < $3","1","18","cheeto puffs","2","0","Salty","SKIPPED","300","1","4","night","5","hungry/thirsty","38.84419980590805","-94.62512487042622"
"bvsd-51249","2025-09-15 22:42:32","163","2","$1 to < $3","3","2","pretzels","4","0","Salty","SKIPPED","30","1","3","evening","1","availability",,
"bvsd-55411","2025-09-15 22:42:20","40","1","$0 to < $1","2","18","slim jim","1","0","Salty","SKIPPED","130","0","3","evening","4","energy","38.84934236048519","-94.62828442870486"
"bvsd-55411","2025-09-15 22:41:15","100","1","$0 to < $1","3","12","gold fish","2","0","Salty","SKIPPED","170","0","2","afternoon","5","hungry/thirsty","38.850150284663776","-94.62927785410787"
"bvsd-51249","2025-09-15 22:39:39","230","3","$3 to < $7","1","3","monster","0","1","Sweet","SKIPPED","370","54","1","morning","4","energy",,
"bvsd-55411","2025-09-15 22:39:19","100","2","$1 to < $3","1","22","vanilla chocolate pudding ","1","1","Sweet","SKIPPED","125","13","3","evening","4","energy","38.84163943962351","-94.62199898157024"
"bvsd-51249","2025-09-15 22:38:36","140","3","$3 to < $7","2","5","gold fish","3","0","Salty","SKIPPED","240","0","2","afternoon","1","availability",,
"bvsd-55411","2025-09-15 22:37:47","160","2","$1 to < $3","1","26","cheetos ","2","0","Salty","SKIPPED","290","1","4","night","2","craving","38.844823854680094","-94.62308515267097"
"bvsd-51249","2025-09-15 22:37:22","190","2","$1 to < $3","2","8","kind bar","6","1","Sweet","SKIPPED","80","5","3","evening","4","energy",,
"bvsd-55411","2025-09-15 22:36:35","120","2","$1 to < $3","3","8","baked lays ","2","0","Salty","SKIPPED","160","2","2","afternoon","4","energy","38.84304357861291","-94.62906693874352"
"bvsd-16908","2025-09-15 22:35:57","30","1","$0 to < $1","5","1","Carrots","1","1","Sweet","SKIPPED","50","0","2","afternoon","5","hungry/thirsty",,
"bvsd-55411","2025-09-15 22:35:13","110","2","$1 to < $3","4","11","multi grain cheerios ","2","1","Sweet","SKIPPED","160","6","1","morning","5","hungry/thirsty","38.8493744431168","-94.61911916375423"
"bvsd-46532","2025-09-15 22:34:44","90","2","$1 to < $3","1","4","Rice Krispies Treats","1","1","Sweet","SKIPPED","105","8","3","evening","1","availability",,
"bvsd-16908","2025-09-15 22:34:17","370","2","$1 to < $3","1","9","Poptart","3","1","Sweet","SKIPPED","320","30","3","evening","2","craving",,
"bvsd-55411","2025-09-15 22:33:51","140","1","$0 to < $1","3","18","smart food popcorn ","4","0","Salty","SKIPPED","280","1","4","night","5","hungry/thirsty","38.849001843917144","-94.62116242079105"
