user:id,context:timestamp,SuperPower:key,SuperPower:label,blue,gold,green,int_ext:key,int_ext:label,orange,p_color:key,p_color:label,s_color:key,s_color:label,sport:key,sport:label,context:location:latitude,context:location:longitude
"bvsd-51226","2025-11-13 10:49:19","0","Invisibility","15","11","6","1","Extrovert","18","2","Orange","3","Blue","0","Yes","38.90533747326747","-94.6604513303076"
"bvsd-03355","2025-11-13 10:46:06","4","Fly","8","10","13","0","Introvert","19","2","Orange","1","Green","0","Yes","38.910687366856926","-94.65673328414024"
"bvsd-14126","2025-11-13 10:14:24","0","Invisibility","16","10","8","1","Extrovert","16","2","Orange","3","Blue","0","Yes","38.905976932105","-94.6575893093014"
"bvsd-59352","2025-11-11 12:52:29","2","Freeze Time","19","10","15","1","Extrovert","6","3","Blue","1","Green","1","No",,
"bvsd-79542","2025-11-11 11:37:49","0","Invisibility","12","7","16","1","Extrovert","15","1","Green","2","Orange","1","No","38.91223029743455","-94.66115929807722"
"bvsd-55411","2025-11-11 11:36:49","0","Invisibility","8","16","10","1","Extrovert","16","2","Orange","0","Gold","0","Yes","38.91017637922204","-94.65324508375674"
"bvsd-15737","2025-11-11 11:36:40","4","Fly","12","9","18","1","Extrovert","11","1","Green","3","Blue","0","Yes","38.90764530118194","-94.66185659631128"
"bvsd-04643","2025-11-11 11:36:20","4","Fly","18","8","10","1","Extrovert","14","3","Blue","2","Orange","0","Yes",,
"bvsd-78563","2025-11-11 11:36:01","0","Invisibility","20","12","6","1","Extrovert","12","3","Blue","2","Orange","1","No","38.90325372820588","-94.65923442399578"
"bvsd-07108","2025-11-11 11:35:58","1","Telepathy (read minds)","13","8","11","1","Extrovert","18","2","Orange","3","Blue","0","Yes",,
"bvsd-22662","2025-11-11 11:35:55","2","Freeze Time","12","11","14","1","Extrovert","13","1","Green","2","Orange","0","Yes","38.89746660265518","-94.66233630879975"
"bvsd-55063","2025-11-11 11:35:55","2","Freeze Time","12","16","17","0","Introvert","5","1","Green","0","Gold","0","Yes","38.900017110438355","-94.6622826347721"
"bvsd-98403","2025-11-11 11:35:55","1","Telepathy (read minds)","15","11","6","1","Extrovert","18","2","Orange","3","Blue","0","Yes","38.907015143784776","-94.66302947053644"
"bvsd-61449","2025-11-11 11:35:48","2","Freeze Time","15","12","7","1","Extrovert","16","2","Orange","3","Blue","0","Yes","38.91026951074581","-94.6626668468012"
"bvsd-62093","2025-11-11 11:35:47","2","Freeze Time","13","5","12","1","Extrovert","20","2","Orange","3","Blue","0","Yes",,
"bvsd-47826","2025-11-11 11:35:41","2","Freeze Time","8","12","11","1","Extrovert","19","2","Orange","0","Gold","0","Yes","38.905862704725","-94.65982652062054"
"bvsd-33516","2025-11-11 11:35:37","3","Super Strength","14","10","13","1","Extrovert","13","3","Blue","2","Orange","0","Yes","38.90383195685289","-94.66693845403644"
"bvsd-46532","2025-11-11 11:35:34","4","Fly","11","11","8","1","Extrovert","20","2","Orange","0","Gold","0","Yes",,
"bvsd-90348","2025-11-11 11:35:28","3","Super Strength","9","14","17","0","Introvert","10","1","Green","0","Gold","0","Yes","38.903499841976185","-94.65452662906408"
"bvsd-60678","2025-11-11 11:35:20","2","Freeze Time","17","7","12","0","Introvert","14","3","Blue","2","Orange","0","Yes",,
"bvsd-43680","2025-11-11 11:35:16","2","Freeze Time","20","9","10","1","Extrovert","11","3","Blue","2","Orange","0","Yes",,
"bvsd-36323","2025-11-11 11:35:15","4","Fly","19","9","8","1","Extrovert","14","3","Blue","2","Orange","0","Yes",,
"bvsd-44934","2025-11-11 11:35:15","2","Freeze Time","15","16","6","1","Extrovert","13","0","Gold","3","Blue","0","Yes",,
"bvsd-96061","2025-11-11 11:35:02","4","Fly","13","11","7","1","Extrovert","19","2","Orange","3","Blue","0","Yes","38.9047491995015","-94.65431281472624"
"bvsd-15535","2025-11-11 11:34:58","2","Freeze Time","18","10","10","1","Extrovert","12","3","Blue","2","Orange","0","Yes",,
"bvsd-16908","2025-11-11 11:34:51","1","Telepathy (read minds)","12","12","8","1","Extrovert","18","2","Orange","3","Blue","0","Yes","38.90234014655637","-94.6515255338164"
# reviewed: 2026-05-30 16:07:17 [9] run-24034
# reviewed: 2026-06-05 17:21:51 [2] run-5867
